id,stock_code,description,voltage,connection_type,shaft_diameter,nominal_current,current_delta,current_star,power_kw,price,created_at
1,7-105629-0-0-0,2.2KW-230/400 14mm,380,Yıldız,14,6.346808,13.2,7.6,2.2,259.6753,2026-01-09 12:15:40.049273+00
2,7-105669-0-0-0,2.2kW-3HP-50Hz-14mm-1P-230V-F82,220,Tek Fazlı,14,10.9626684,23,23,2.2,259.6753,2026-01-09 12:15:40.049273+00
3,7-105677-0-0-0,2.9KW-230V 14mm,220,Tek Fazlı,14,14.45079,29.5,29.5,2.9,258.973846,2026-01-09 12:15:40.049273+00
4,7-104743-0-0-0,2.9KW-230/400 14mm,380,Yıldız,14,8.366247,16.5,9.5,2.9,258.973846,2026-01-09 12:15:40.049273+00
5,7-105685-0-0-0,4.7kW-6.5HP-400/690-155-19mm,380,Üçgen,19,13.55909,13,7.3,4.7,263.489349,2026-01-09 12:15:40.049273+00
6,7-105642-0-0-0,5.8kW-8HP-400/690-155-19mm,380,Üçgen,19,16.7324944,15,8.8,5.8,280.543121,2026-01-09 12:15:40.049273+00
7,7-105566-0-0-0,7.7kW-10.5HP-400/690-155-19mm,380,Üçgen,19,22.213829,19,11,7.7,302.4412,2026-01-09 12:15:40.049273+00
8,7-105515-0-0-0,9.5kW-13HP-400/690-155-19mm,380,Üçgen,19,27.4066715,25,14,9.5,342.5,2026-01-09 12:15:40.049273+00
9,7-105607-0-0-0,11kW-15HP-400/690-155-19mm,380,Yıldız-Üçgen,19,31.7340412,27,16,11,347.136078,2026-01-09 12:15:40.049273+00
10,7-105516-0-0-0,12.5kW-17HP-400/690-155-19mm,380,Yıldız-Üçgen,19,36.06141,28,16,12.5,382.778,2026-01-09 12:15:40.049273+00
11,7-105643-0-0-0,14.7kW-20HP-400/690-155-19mm,380,Yıldız-Üçgen,19,42.40822,32,19,14.7,397.32193,2026-01-09 12:15:40.049273+00
12,7-105517-0-0-0,18.4kW-25HP-400/690-155-32mm,380,Yıldız-Üçgen,32,53.0823936,47,27,18.4,463.805267,2026-01-09 12:15:40.049273+00
13,7-105684-0-0-0,18.4kW-25HP-400/690-155-19mm,380,Yıldız-Üçgen,19,53.0823936,47,27,18.4,447.891357,2026-01-09 12:15:40.049273+00
14,7-104754-0-0-0,22kW-30HP-400/690-155-32mm,380,Yıldız-Üçgen,32,63.4680824,51,30,22,513.1143,2026-01-09 12:15:40.049273+00
15,7-105543-0-0-0,"24kW-32,7HP-400/690-155-32mm",380,Yıldız-Üçgen,32,69.23791,55,32,24,576.0576,2026-01-09 12:15:40.049273+00
16,7-107324-0-0-0,29.4kW-400/690-32mm,380,Yıldız-Üçgen,32,84.81644,64,37,29.4,676.3306,2026-01-09 12:15:40.049273+00
17,7-106193-0-0-0,36.8 KW-50HP-55Hz-32mm-3P,380,Yıldız-Üçgen,32,106.164787,82,47,36.8,895.618347,2026-01-09 12:15:40.049273+00
18,7-106194-0-0-0,44.1 KW-60HP-55Hz-32mm-3P,380,Yıldız-Üçgen,32,127.224655,93,54,44.1,950.8348,2026-01-09 12:15:40.049273+00
19,7-106192-0-0-0,51.5 KW-70HP-55Hz-32mm,380,Yıldız-Üçgen,32,148.573013,128,74,51.5,1074.66089,2026-01-09 12:15:40.049273+00
20,7-106135-0-0-0,55 KW-75HP-50Hz-32mm,380,Yıldız-Üçgen,32,158.6702,128,74,55,1118.31458,2026-01-09 12:15:40.049273+00
21,9-106192-0-0-1,"58,8 KW-79HP-55Hz-32mm",380,Yıldız-Üçgen,32,169.632874,129,74,58.8,1249.725,2026-01-09 12:15:40.049273+00
22,7-107170-0-0-0,"73,5 KW-100HP-50Hz-32mm*220",380,Yıldız-Üçgen,32,212.041092,134,78,73.5,1518.97,2026-01-09 12:15:40.049273+00
