id,stock_code,description,brand,flow_rate,diameter,price,created_at
1,7-105662-0-0.0,SEIM EU 20J_8  l/m 14mm,Seim,8,14,179.3056,2026-01-09 12:15:39.159765+00
2,7-105488-0-0-0,SEIM EU 20B_HL 12 l/m 14mm,Seim,12,14,179.3056,2026-01-09 12:15:39.159765+00
3,7-105625-0-0-0,SEIM EU 25K 16 l/m 14mm,Seim,16,14,179.3056,2026-01-09 12:15:39.159765+00
4,7-104694-0-0-0,SEIM EU 25A 20 l/m 19mm,Seim,20,19,179.3056,2026-01-09 12:15:39.159765+00
5,7-104698-0-0-0,SEIM EU 25A_HL 20 l/m 14mm,Seim,20,14,179.3056,2026-01-09 12:15:39.159765+00
6,7-105624-0-0-0,SEIM EU 25B 25 l/m 14mm,Seim,25,14,179.3056,2026-01-09 12:15:39.159765+00
7,7-104699-0-0-0,SEIM EU 25B 25 l/m 19mm,Seim,25,19,179.3056,2026-01-09 12:15:39.159765+00
8,7-104700-0-0-0,SEIM EU 25C 30  l/m 19mm,Seim,30,19,179.3056,2026-01-09 12:15:39.159765+00
9,7-105631-0-0-0,SEIM EU 29A 35 l/m 14mm,Seim,35,14,179.3056,2026-01-09 12:15:39.159765+00
10,7-104701-0-0-0,SEIM EU 29A 35 l/min 19mm,Seim,35,19,179.3056,2026-01-09 12:15:39.159765+00
11,7-104702-0-0-0,SEIM EU 29B 43 l/min 19mm,Seim,43,19,179.3056,2026-01-09 12:15:39.159765+00
12,7-104703-0-0-0,SEIM EU 32A 55 l/min 19mm,Seim,55,19,179.3056,2026-01-09 12:15:39.159765+00
13,7-104704-0-0-0,SEIM EU 32B 75 l/min 19mm,Seim,75,19,179.3056,2026-01-09 12:15:39.159765+00
14,7-104705-0-0-0,SEIM EU 40A 100 l/min 19mm,Seim,100,19,179.3056,2026-01-09 12:15:39.159765+00
15,7-104706-0-0-0,SEIM EU 40B 125 l/min 19mm,Seim,120,19,179.3056,2026-01-09 12:15:39.159765+00
16,7-104707-0-0-0,SEIM EU 40C 150 l/min 19mm,Seim,150,19,179.3056,2026-01-09 12:15:39.159765+00
17,7-104708-0-0-2,SEIM EU 45A 180 l/min 19mm,Seim,180,19,247.235687,2026-01-09 12:15:39.159765+00
18,7-104708-0-0-0,SEIM EU 45A 180 l/min 32mm,Seim,180,32,247.235687,2026-01-09 12:15:39.159765+00
19,7-104709-0-0-0,SEIM EU 45B 210 l/min 32mm,Seim,210,32,247.235687,2026-01-09 12:15:39.159765+00
20,7-107117-0-0-0,SEIM EU 55J 213 l/min 32mm,Seim,213,32,247.235687,2026-01-09 12:15:39.159765+00
21,7-104710-0-0-0,SEIM EU 45C 240 l/min 32mm,Seim,240,32,247.235687,2026-01-09 12:15:39.159765+00
22,7-107077-0-0-0,SEIM EU 55A 250 l/min 32mm,Seim,250,32,247.235687,2026-01-09 12:15:39.159765+00
23,7-104711-0-0-0,SEIM EU 55B 300 l/min 32mm,Seim,300,32,335.255432,2026-01-09 12:15:39.159765+00
24,7-104712-0-0-0,SEIM EU 55C 360 l/min 32mm,Seim,360,32,335.255432,2026-01-09 12:15:39.159765+00
25,7-104713-0-0-0,SEIM EU 55D 380 l/min 32mm,Seim,380,32,335.255432,2026-01-09 12:15:39.159765+00
26,7-104714-0-0-0,SEIM EU 60A 430 l/min 32mm,Seim,430,32,457.108734,2026-01-09 12:15:39.159765+00
27,7-104715-0-0-0,SEIM EU 60B 500 l/min 32mm-Vidal Pompa,Seim,500,32,457.108734,2026-01-09 12:15:39.159765+00
28,7-104716-0-0-0,SEIM EU 72A 600 l/min 32mm,Seim,600,32,718.2417,2026-01-09 12:15:39.159765+00
29,7-104717-0-0-0,SEIM EU 72B 720 l/min 32mm,Seim,720,32,718.2417,2026-01-09 12:15:39.159765+00
30,7-104718-0-0-0,SEIM EU 72C 860 l/min 32mm,Seim,860,32,718.2417,2026-01-09 12:15:39.159765+00
31,SM00008L,GR20 SM 8L 14*82.55,Settima,8,14,179.3056,2026-01-09 12:15:39.159765+00
32,SM00012L,GR20 SM 12L 14*82.55,Settima,12,14,179.3056,2026-01-09 12:15:39.159765+00
33,SM00015L,GR20 SM 15L 14*82.55,Settima,15,14,179.3056,2026-01-09 12:15:39.159765+00
34,SM00020M,GR25 SM 20L 14*155,Settima,20,14,179.3056,2026-01-09 12:15:39.159765+00
35,SM00025M,GR25 SM 25L 14*155,Settima,20,14,179.3056,2026-01-09 12:15:39.159765+00
36,SM00025L,GR25 SM 25L 19*155,Settima,20,19,179.3056,2026-01-09 12:15:39.159765+00
37,SM00023M,GR20 SM 23L 14*82.55,Settima,23,14,179.3056,2026-01-09 12:15:39.159765+00
38,SM00030M,GR25 SM 30L 19*155,Settima,30,19,179.3056,2026-01-09 12:15:39.159765+00
39,SM00035L,GR32 SM 35L 19*155,Settima,35,19,179.3056,2026-01-09 12:15:39.159765+00
40,SM00045M,GR32 SM 45 19*155,Settima,43,19,179.3056,2026-01-09 12:15:39.159765+00
41,SM00055N,GR32 SM 55 19*155,Settima,55,19,179.3056,2026-01-09 12:15:39.159765+00
42,SM00075O,GR32 SM 75 19*155,Settima,75,19,179.3056,2026-01-09 12:15:39.159765+00
43,SM00100N,GR40 SM 100L 19*155,Settima,100,19,179.3056,2026-01-09 12:15:39.159765+00
44,SM00125M,GR40 SM 125L 19*155,Settima,120,19,179.3056,2026-01-09 12:15:39.159765+00
45,SM00150L,GR40 SM 150L 19*155,Settima,150,19,179.3056,2026-01-09 12:15:39.159765+00
46,SM00180L19X155,GR45 SM 180L 19*155(13087),Settima,180,19,247.235687,2026-01-09 12:15:39.159765+00
47,SM00180L,GR45 SM 180L 32*220,Settima,180,32,247.235687,2026-01-09 12:15:39.159765+00
48,SM00210L,GR45 SM 210L 32*220,Settima,210,32,247.235687,2026-01-09 12:15:39.159765+00
49,SM00250L,GR45 SM 250L 32*220,Settima,250,32,247.235687,2026-01-09 12:15:39.159765+00
50,SM00270L,GR55 SM 270L 32*220,Settima,270,32,247.235687,2026-01-09 12:15:39.159765+00
51,SM00300L,GR 55 SM 300L 32*220,Settima,300,32,335.255432,2026-01-09 12:15:39.159765+00
